4820	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4814	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4812	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4802	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4799	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4769	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4764	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4748	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4718	19257.33	114	2.46	168.92	2659.17	14.39%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4885	17887.82	111	2.29	161.15	2585.35	13.84%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.4 	profit_zone=0.4 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4896	17253.41	117	2.32	147.47	3107.41	17.87%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=0	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4886	17253.41	117	2.32	147.47	3107.41	17.87%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=0	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4736	17253.41	117	2.32	147.47	3107.41	17.87%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=0	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4626	17253.41	117	2.32	147.47	3107.41	17.87%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=1	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4904	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
